先生，早，歡迎光臨本店。 三。,您好，總共兩位。 零。
請進來。需要我效勞嗎？ 四。,是的，總共兩位。 零。
是的，總共兩位。 零。,這邊請！ 零。
我要點餐。 零。,什麼？ 請再說一遍。 四。
請問您需要什麼？ 四。,不好意思，這個我不會用英語說。 六。
不好意思，這個我不會用英語說。 六。,我找人來幫您。 零。
您可不可以幫我一個忙？ 四。,好的，請問您需要什麼幫忙？ 四。
好的，請問您需要什麼幫忙？ 四。,這份餐點沒有熟。 零。
這份餐點沒有熟。 零。,這個嘛，我看看… 零。
我在找鞋子。 零。,請問需要什麼大小？ 四。
你們有沒有賣帽子？ 四。,有，但是賣光了。 七。
您想要看些什麼？ 四。,我只是看看。 零。
抱歉，讓您久等。您覺得這個怎樣？ 四。,我覺得還不錯。 八  。
我覺得還不錯。 八  。,還需要什麼別的嗎？ 四。
還需要什麼別的嗎？ 四。,就這個，謝謝您 零。
您有什麼建議？ 四。,要不要我推薦一些東西給你？ 九。
要不要我推薦一些東西給你？ 九。,好的，麻煩了。 三。
你們營業時間到幾點？ 四。,到下午九點。 八。
到下午九點。 八。,那你們幾點開門？ 四。
那你們幾點開門？ 四。,上午10點。 八。
何時開門？ 四。,除週一外每天都開放，我們假日公休。 八。
我要退錢。請經理出來跟我說好嗎？ 五。,對不起，我們弄錯了。 七。
我的咖啡做錯了 七。,我們會換新的給您。 零。
先生，早！ 零。,早安。  零。
女士，午安。  零。,午安。  零。
小姐，晚安。 零。,晚安。  零。
歡迎光臨本館，需要我效勞嗎？ 四。,請給我菜單。 零。
要我幫什麼忙嗎？ 四。,兩位。 零。
兩位。 零。,這邊請！ 零。
請坐！要不要喝什麼？ 九。,來杯卡布奇諾。 零。
來杯卡布奇諾。 零。,什麼？ 請再說一遍。 四。
什麼？ 請再說一遍。 四。,我要一杯卡布奇諾。 零。
我要一杯卡布奇諾。 零。,抱歉。我不懂您的意思。 七。
這裡是餐廳訂位組。 零。,我要訂位。 零。
我要訂位。 零。,要訂哪個時候的？ 四。
要訂哪個時候的？ 四。,今晚8點。 零。
幾位 ？ ,三個大人一個小孩 零。
三個大人一個小孩 零。,總共三加一位？ 四。
總共三加一位？ 四。,是的 零。
是的 零。,請在此等候，我會帶您就座． 零。
您較喜歡坐在哪兒？ 四。,靠窗那桌 零。
靠窗那桌 零。,抱歉，這桌已有人訂． 零。
我想訂8位，七點用餐。 零。,好的 三。
好的 三。,麻煩安排角落的座位。 零。
麻煩安排角落的座位。 零。,好的，我馬上送菜單來。 九。
菜單來了。請慢慢參考才決定。 九。,可以開始點菜了嗎？ 四。
可以開始點菜了嗎？ 四。,好的，您想要喝點什麼？ 四。
好的，您想要喝點什麼？ 四。,我要一杯黑咖啡。 零。
我要一杯黑咖啡。 零。,還要點些別的什麼嗎？ 四。
還要點些別的什麼嗎？ 四。,就這樣，謝謝。 零。
這裡用還是外帶？ 四。,我想外帶。 零。
全部就這些？ 四。,是的，總共多少錢？ 四。
抱歉，餐廳要打烊了。 七。,好的。 三。
先生，晚安。這是菜單。 九。,好。給我幾分鐘，讓我看一下。 零。
好。給我幾分鐘，讓我看一下。 零。,您慢慢看。 我等會兒就過來。 零。
先生，現在可以幫您點菜了嗎？ 九。,可以了。我想先來一份雞湯。 零。
可以了。我想先來一份雞湯。 零。,主菜您想點什麼？ 四。
主菜您想點什麼？ 四。,菲力牛排。 零。
菲力牛排。 零。,您要幾分熟？ 四。
您要幾分熟？ 四。,四分熟的。 零。
四分熟的。 零。,要點甜點嗎？ 四。
要點甜點嗎？ 四。,不。我過一會兒再點。 零。
你要喝點甚麼嗎？ 九。,你們有卡布奇諾嗎？ 四。
你們有卡布奇諾嗎？ 四。,有啊，我們有卡布奇諾跟黑咖啡。 零。
有啊，我們有卡布奇諾跟黑咖啡。 零。,那我要卡布奇諾。 零。
那我要卡布奇諾。 零。,好的，我轉頭就為你送上卡布奇諾。 零。
你要喝點甚麼嗎？ 四。,我喝水就可以了，謝謝。 零。
我喝水就可以了，謝謝。 零。,好的，你現在要點餐嗎？ 九。
好的，你現在要點餐嗎？ 九。,嗯… 可以給我一點時間嗎？ 四。
嗯… 可以給我一點時間嗎？ 四。,當然可以喔，我等一下再回來。 零。
你現在要點餐嗎？ 九。,是的，我要一杯卡布奇諾，不要糖。 零。
是的，我要一杯卡布奇諾，不要糖。 零。,好的，還有其他嗎？ 四。
好的，還有其他嗎？ 四。,沒有了，就這樣。 零。
沒有了，就這樣。 零。,好的，我等下就為你送上餐點。 三。
這是你的卡布奇諾。 零。,謝謝你。 一。
卡布奇諾好喝嗎？ 四。,很好喝。 二。
很好喝。 二。,太好了，慢慢享用。 零。
我可以買單嗎？ 四。,當然可以，這是你的帳單，請問你要付現還是刷卡？ 四。
當然可以，這是你的帳單，請問你要付現還是刷卡？ 四。,現金。 零。
現金。 零。,謝謝，請稍等，我去找錢。 一。
謝謝，請稍等，我去找錢。 一。,好的。 三。
好的。 三。,這是你的零錢，非常感謝你的光顧。 一。
服務生！ 零。,是的，強森先生。您要點菜了嗎？ 九。
