先生 ， 早 ， 歡迎 光臨 本店 。 三 。,您好 ， 總共 兩 位 。 零 。
請 進來 。 需要 我 效勞 嗎 ？ 四 。,是的 ， 總共 兩 位 。 零 。
是的 ， 總共 兩 位 。 零 。,這邊 請 ！ 零 。
我 要點 餐 。 零 。,什麼 ？ 請 再說 一 遍 。 四 。
請問 您 需要 什麼 ？ 四 。,不好意思 ， 這個 我 不 會 用 英語 說 。六 。
不好意思 ， 這個 我 不 會 用 英語 說 。六 。,我 找 人 來 幫 您 。零 。
您 可 不 可以 幫 我 一個 忙 ？ 四 。,好 的 ， 請問 您 需要 什麼 幫忙 ？ 四 。
好 的 ， 請問 您 需要 什麼 幫忙 ？ 四 。,這 份 餐點 沒有 熟 。 零 。
這 份 餐點 沒有 熟 。 零 。,這個 嘛 ， 我 看看 … 零 。
我 在 找 鞋子 。 零 。,請問 需要 什麼 大小 ？ 四 。
你們 有 沒 有 賣 帽子 ？ 四 。,有 ， 但是 賣 光 了 。七 。
您 想 要 看 些 什麼 ？ 四 。,我 只是 看看 。 零 。
抱歉 ， 讓 您 久 等 。 您 覺得 這個 怎樣 ？ 四 。,我 覺得 還 不錯 。 八 。
我 覺得 還 不錯 。 八 。,還 需要 什麼 別的 嗎 ？ 四 。
還 需要 什麼 別的 嗎 ？ 四 。,就 這個 ， 謝謝 您 零 。
您 有 什麼 建議 ？ 四 。,要 不 要 我 推薦 一些 東西 給 你 ？ 九 。
要 不 要 我 推薦 一些 東西 給 你 ？ 九 。,好 的 ， 麻煩 了 。 三 。
你們 營業 時間 到 幾 點 ？ 四 。,到 下午 九點。八 。
到 下午 九點。八 。,那 你們 幾 點 開門 ？ 四 。
那 你們 幾 點 開門 ？ 四 。,上午 10點 。 八 。
何時 開門 ？ 四 。,除 週一 外 每天 都 開放 ， 我們 假日 公休 。 八 。
我 要 退 錢 。 請 經理 出來 跟 我 說 好 嗎 ？ 五 。,對不起 ， 我們 弄 錯 了 。七 。
我 的 咖啡 做 錯 了 七 。,我們 會 換 新 的 給 您 。零 。
先生 ， 早 ！ 零 。,早安 。零 。
女士 ， 午安 。零 。,午安 。零 。
小姐 ， 晚安 。零 。,晚安 。零 。
歡迎 光臨 本館 ， 需要 我 效勞 嗎 ？ 四 。,請 給 我 菜單 。 零 。
要 我 幫 什麼 忙 嗎 ？ 四 。,兩 位 。 零 。
兩 位 。 零 。,這邊 請 ！ 零 。
請 坐 ！ 要 不 要 喝 什麼 ？ 九 。,來杯 卡布奇諾 。 零 。
來杯 卡布奇諾 。 零 。,什麼 ？ 請 再說 一 遍 。 四 。
什麼 ？ 請 再說 一 遍 。 四 。,我 要 一 杯 卡布奇諾 。 零 。
我 要 一 杯 卡布奇諾 。 零 。,抱歉 。 我 不 懂 您 的 意思 。 七 。
這裏 是 餐廳 訂 位 組 。 零 。,我 要 訂位 。零 。
我 要 訂位 。零 。,要 訂 哪個 時候 的 ？ 四 。
要 訂 哪個 時候 的 ？ 四 。,今晚 8點 。零 。
幾 位 ？,三 個 大人 一個 小孩 零 。
三 個 大人 一個 小孩 零 。,總共 三 加 一 位 ？ 四 。
總共 三 加 一 位 ？ 四 。,是的 零 。
是的 零 。,請 在 此 等候 ， 我 會 帶 您 就座．零 。
您 較 喜歡 坐 在 哪兒 ？ 四 。,靠 窗 那 桌零 。
靠 窗 那 桌零 。,抱歉 ， 這 桌 已 有 人 訂． 零 。
我 想 訂 8 位 ， 七 點 用餐 。 零 。,好 的 三 。
好 的 三 。,麻煩 安排 角落 的 座位 。 零 。
麻煩 安排 角落 的 座位 。 零 。,好 的 ， 我 馬上 送 菜單 來 。 九 。
菜單 來 了 。 請 慢慢 參考 才 決定 。 九 。,可以 開始 點菜 了 嗎 ？ 四 。
可以 開始 點菜 了 嗎 ？ 四 。,好 的 ， 您 想 要 喝 點 什麼 ？ 四 。
好 的 ， 您 想 要 喝 點 什麼 ？ 四 。,我 要 一 杯 黑 咖啡 。 零 。
我 要 一 杯 黑 咖啡 。 零 。,還要 點 些 別的 什麼 嗎 ？ 四 。
還要 點 些 別的 什麼 嗎 ？ 四 。,就 這樣 ， 謝謝 。零 。
這裏 用 還是 外帶 ？ 四 。,我 想 外帶 。 零 。
